region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,Bayern Múnich,Club Brujas KV,"4:0
(3:0)",Neuer,Jackers,Tah,Ordóñez,Upamecano,Mechele,Guerreiro,Meijer,Laimer,Sabbe,Kimmich,Audoor,Pavlovic,Stanković,Karl,Vanaken,Díaz,Tzolis,Olise,Forbs,Kane,Tresoldi
Internacional,Champions League,2025,Chelsea FC,Ajax de Ámsterdam,"5:1
(4:1)",Jørgensen,Pasveer,Adarabioyo,Sutalo,Fofana,Baas,Hato,Itakura,Caicedo,Rosa,Lavia,McConnell,Fernández,Taylor,Buonanotte,Gloukh,Gittens,Moro,Estêvão,Godts,Guiu,Weghorst
Internacional,Champions League,2025,Eintracht Fráncfort​​,Liverpool FC,"1:5
(1:3)",Zetterer,Mamardashv.,Koch,van Dijk,Theate,Konaté,Amenda,Robertson,Brown,Frimpong,Kristensen,Jones,Larsson,Szoboszlai,Götze,Wirtz,Bahoya,Gakpo,Knauff,Isak,Doan,Ekitiké
Internacional,Champions League,2025,Sporting de Lisboa,Olympique de Marsella,"2:1
(0:1)",Silva,Rulli,Inácio,Aguerd,Debast,Balerdi,Araújo,Pavard,Fresneda,Emerson,Hjulmand,Vermeeren,Simões,Højbjerg,Trincão,Weah,Gonçalves,Paixão,Quenda,Greenwood,Suárez,Aubameyang
Internacional,Champions League,2025,AS Mónaco,Tottenham Hotspur,"0:0
(0:0)",Köhn,Vicario,Salisu,Danso,Kehrer,van de Ven,Caio Henri.,Porro,Ouattara,Palhinha,Teze,Bentancur,Coulibaly,Bergvall,Diatta,Gray,Fati,Odobert,Akliouche,Kudus,Balogun,Richarlison
Internacional,Champions League,2025,Atalanta de Bérgamo,SK Slavia Praga,"0:0
(0:0)",Carnesecchi,Markovic,Hien,Vlcek,Djimsiti,Boril,Kossounou,Zima,de Roon,Mbodji,Éderson,Moses,Zappacosta,Oscar,Bernasconi,Zafeiris,De Ketelaere,Provod,Lookman,Kusej,Krstović,Chory
Internacional,Champions League,2025,SK Slavia Praga,Arsenal FC,"0:3
(0:1)",Markovic,Raya,Vlcek,Saliba,Zima,Gabriel,Chaloupek,Hincapié,Mbodji,Timber,Moses,Nørgaard,Sadílek,Merino,Zafeiris,Rice,Provod,Nwaneri,Sanyang,Trossard,Chory,Saka
Internacional,Champions League,2025,SSC Nápoles,Eintracht Fráncfort​​,"0:0
(0:0)",Milinković.,Zetterer,Buongiorno,Koch,Rrahmani,Theate,Gutiérrez,Collins,Di Lorenzo,Brown,Lobotka,Kristensen,Anguissa,Larsson,McTominay,Götze,Elmas,Chaïbi,Politano,Bahoya,Højlund,Burkardt
Internacional,Champions League,2025,Liverpool FC,Real Madrid CF,"1:0
(0:0)",Mamardashv.,Courtois,Konaté,Militão,van Dijk,Huijsen,Robertson,Carreras,Bradley,Tchouaméni,Gravenberch,Camavinga,Mac Allister,Valverde,Szoboszlai,Bellingham,Wirtz,Güler,Salah,Vinicius J.,Ekitiké,Mbappé
Internacional,Champions League,2025,Tottenham Hotspur,FC Copenhague,"4:0
(1:0)",Vicario,Kotarski,Romero,Gabriel Pe.,van de Ven,Suzuki,Udogie,Hatzidiakos,Porro,López,Bentancur,Lerager,Sarr,Clem,Simons,Achouri,Odobert,Larsson,Johnson,Elyounoussi,Kolo Muani,Moukoko
Internacional,Champions League,2025,París Saint-Germain FC,Bayern Múnich,"1:2
(0:2)",Chevalier,Neuer,Marquinhos,Tah,Pacho,Upamecano,Mendes,Laimer,Hakimi,Stanisic,Vitinha,Kimmich,Zaïre-Emery,Pavlovic,Ruiz,Díaz,Kvaratskhe.,Olise,Barcola,Gnabry,Dembélé,Kane
Internacional,Champions League,2025,Juventus de Turín,Sporting de Lisboa,"1:1
(1:1)",Di Gregorio,Silva,Kalulu,Inácio,Gatti,Diomande,Cambiaso,Araújo,Locatelli,Vagiannidis,Koopmeiners,Hjulmand,McKennie,Simões,Thuram,Trincão,Yıldız,Gonçalves,Conceição,Quenda,Vlahović,Ioannidis
Internacional,Champions League,2025,Atlético de Madrid,Union Saint-Gilloise,"3:1
(1:0)",Oblak,Scherpen,Hancko,Burgess,Le Normand,Mac Allister,Ruggeri,Sykes,Molina,Van De Perre,Koke,Zorgane,Barrios,Schoofs,Baena,Khalaili,Simeone,Niang,Griezmann,Ait El Hadj,Alvarez,Rodríguez
